"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-01","50","58","41"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-02","42","53","33"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-03","35","48","29"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-04","37","51","27"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-05","35","46","26"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-06","35","51","25"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-07","38","51","23"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-08","40","52","32"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-09","31","40","26"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-10","30","43","23"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-11","33","49","20"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-12","41","59","24"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-13","37","50","27"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-14","42","61","30"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-15","55","73","40"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-16","59","65","54"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-17","59","67","54"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-18","54","66","48"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-19","53","67","43"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-20","54","62","46"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-21","61","67","56"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-22","64","79","55"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-23","58","68","51"
"USR0000FSTM","ST. MARKS EAST FLORIDA, FL US","2010-01-24","63","66","61"
